refdes;partname;type;VALUE
A1_IS1;NXE2S0505MC-R7; ; NXE2S0505MC-R7
A1_IS2;NXE2S0505MC-R7; ; NXE2S0505MC-R7
C1;22_F;C; 22_F
C10;22_F;C; 22_F
C11;22_F;C; 22_F
C12;22_F;C; 22_F
C13;100_F;C; 100_F
C14;100_F;C; 100_F
C15;100_F;C; 100_F
C16;100_F;C; 100_F
C17;820_F;C; 820_F
C18;820_F;C; 820_F
C19;180_F;C; 180_F
C2;22_F;C; 22_F
C20;180_F;C; 180_F
C21;22_F;C; 22_F
C22;22_F;C; 22_F
C23;2200pF;C; 2200pF
C24;0.1_F;C; 0.1_F
C25;0.1_F;C; 0.1_F
C26;22pF;C; 22pF
C27;4.7_F;C; 4.7_F
C28;0.068_F;C; 0.068_F
C3;22_F;C; 22_F
C4;180_F;C; 180_F
C5_IS1;10_F;C; 10_F
C5_IS2;10_F;C; 10_F
C6_IS1;10_F;C; 10_F
C6_IS2;10_F;C; 10_F
C7_IS1;4.7_F;C; 4.7_F
C7_IS2;4.7_F;C; 4.7_F
C8_IS1;4.7_F;C; 4.7_F
C8_IS2;4.7_F;C; 4.7_F
C9;22_F;C; 22_F
D1;Green; ; Green
D2;Blue; ; Blue
D3_IS1;Green; ; Green
D3_IS2;Green; ; Green
D4;TPD1E10B06QDPYRQ1; ; TPD1E10B06QDPYRQ1
D5;SMF18A-TP; ; SMF18A-TP
D6;SMF18A-TP; ; SMF18A-TP
D7;SMAJ18A; ; SMAJ18A
D8;TPD1E10B06QDPYRQ1; ; TPD1E10B06QDPYRQ1
D9_IS1;TPD1E10B06QDPYRQ1; ; TPD1E10B06QDPYRQ1
D9_IS2;TPD1E10B06QDPYRQ1; ; TPD1E10B06QDPYRQ1
IC1;BSC265N10LSFGATMA1; ; BSC265N10LSFGATMA1
IC2;LTC7151SIV#PBF; ; LTC7151SIV#PBF
J1;PJ-102AH; ; PJ-102AH
J2;0430450600; ; 0430450600
J3;1932638-3; ; 1932638-3
J4_IS1;1932638-3; ; 1932638-3
J4_IS2;1932638-3; ; 1932638-3
L1;470nH;L; 470nH
L2_IS1;22_H;L; 22_H
L2_IS2;22_H;L; 22_H
L3_IS1;15_H;L; 15_H
L3_IS2;15_H;L; 15_H
L4;470nH;L; 470nH
L5;1.9_H;L; 1.9_H
M1;7511A85; ; 7511A85
M2;7511A85; ; 7511A85
M3_IS1;7511A85; ; 7511A85
M3_IS2;7511A85; ; 7511A85
R1;560_Ohms;R; 560_Ohms
R2;4.7_kOhms;R; 4.7_kOhms
R3_IS1;560_Ohms;R; 560_Ohms
R3_IS2;560_Ohms;R; 560_Ohms
R4;10_Ohms;R; 10_Ohms
R5;10_kOhms;R; 10_kOhms
R6;422_kOhms;R; 422_kOhms
R7;1.1_kOhms;R; 1.1_kOhms
R8;0_Ohms;R; 0_Ohms
R9;3.83_kOhms;R; 3.83_kOhms
